distid	District	DivisionName	region
902	902 - NATHANIAL ACKERMAN (2NA)	CORPORATE DIVISION	CORPORATE
903	903 - JOSEPH ALLARD (2JA)	CORPORATE DIVISION	CORPORATE
904	904 - ALEXANDRIA ALLEN (1AL)	CORPORATE DIVISION	CORPORATE
905	905 - ELIZABETH ALLEN (121)	CORPORATE DIVISION	CORPORATE
906	906 - DONNA ARATA (122)	CORPORATE DIVISION	CORPORATE
907	907 - DAN AU (2DA)	CORPORATE DIVISION	CORPORATE
908	908 - PETER BALTAZAR (2PB)	CORPORATE DIVISION	CORPORATE
909	909 - SOLOMAN BOND (5SB)	CORPORATE DIVISION	CORPORATE
91	091 - MPLS SERVICE CENTER		CORPORATE
910	910 - QUANN BOWLES (103)	CORPORATE DIVISION	CORPORATE
911	911 - MISC TECH (14M)	CORPORATE DIVISION	CORPORATE
912	912 - KHAI BUI (5KB)	CORPORATE DIVISION	CORPORATE
913	913 - ROBERT BUNCE (1RB)	CORPORATE DIVISION	CORPORATE
914	914 - ABBY BUNNELL (6AB)	CORPORATE DIVISION	CORPORATE
915	915 - NICHOLAS BUTKUS (328)	CORPORATE DIVISION	CORPORATE
916	916 - VIRGINIA CALLAHAN (221)	CORPORATE DIVISION	CORPORATE
917	917 - SUSAN CARINI (341)	CORPORATE DIVISION	CORPORATE
918	918 - ERLENE CARTER (361)	CORPORATE DIVISION	CORPORATE
919	919 - CHARLES CHAMBERS (1CC)	CORPORATE DIVISION	CORPORATE
92	092 - ROCKFORD COE	CENTERS OF EXCELLENCE	C O EXCELLENCE
920	920 - KIPP CHOE (330)	CORPORATE DIVISION	CORPORATE
921	921 - PATRICK COLEMAN (104)	CORPORATE DIVISION	CORPORATE
922	922 - MARY COMPTON (181)	CORPORATE DIVISION	CORPORATE
923	923 - PHILLIP CORTEZ (923)	CORPORATE DIVISION	CORPORATE
924	924 - NATHAN DAUGLASH (1ND)	CORPORATE DIVISION	CORPORATE
925	925 - CIRO DEGUZMAN	CORPORATE DIVISION	CORPORATE
926	926 - ANTHONY DESOTO (1AD)	CORPORATE DIVISION	CORPORATE
927	927 - JASON ESPARZA (1JE)	CORPORATE DIVISION	CORPORATE
928	928 - JAMES FARONE (4JF)	CORPORATE DIVISION	CORPORATE
929	929 - MICHAEL FARRAR (4MF)	CORPORATE DIVISION	CORPORATE
93	093 - SIOUX FALLS SERV CENTER		CORPORATE
930	930 - STEVEN FRIEDMAN (1SF)	CORPORATE DIVISION	CORPORATE
931	931 - GREG GARCIA (1GG)	CORPORATE DIVISION	CORPORATE
932	932 - TOBIN GOODFARB (3TG)	CORPORATE DIVISION	CORPORATE
933	933 - CHARLSIE HARRIS (6CH)	CORPORATE DIVISION	CORPORATE
934	934 - LAQUITTA HARRIS (109)	CORPORATE DIVISION	CORPORATE
935	935 - JOHN HIGGINS (262)	CORPORATE DIVISION	CORPORATE
936	936 - JILL HUDSON (182)	CORPORATE DIVISION	CORPORATE
937	937 - GEORGE JOHANNESSON (1GJ)	CORPORATE DIVISION	CORPORATE
938	938 - ERIC JOHNSON (102)	CORPORATE DIVISION	CORPORATE
939	939 - SHUNTAY JOHNSON (204)	CORPORATE DIVISION	CORPORATE
94	094 - TAMPA SERVICE CENTER	NORTHEAST	EAST
940	940 - MARY KEYS (202)	CORPORATE DIVISION	CORPORATE
941	941 - RICHARD KHOURY (1RK)	CORPORATE DIVISION	CORPORATE
942	942 - GEOFFREY KING (401)	CORPORATE DIVISION	CORPORATE
943	943 - \NDRE KINGSTON (162)	CORPORATE DIVISION	CORPORATE
944	944 - MARK KOON (2MK)	CORPORATE DIVISION	CORPORATE
945	945 - DIANA LAND (1DL)	CORPORATE DIVISION	CORPORATE
946	946 - BRIAN LANDERS (163)	CORPORATE DIVISION	CORPORATE
947	947 - GEOFFREY LAWSON (124)	CORPORATE DIVISION	CORPORATE
948	948 - HECTOR LEON	CORPORATE DIVISION	CORPORATE
949	949 - JOHN BRANDON LUSTER (143)	CORPORATE DIVISION	CORPORATE
95	095 - UNIVERSAL HOSPITAL SERVIC		CORPORATE
950	950 - JASON MALAST (1JM)	CORPORATE DIVISION	CORPORATE
951	951 - KENNETH MANNING (331)	CORPORATE DIVISION	CORPORATE
952	952 - MARIANO MANNO	CORPORATE DIVISION	CORPORATE
953	953 - ALEXANDER MARCHETTI (1MA)	CORPORATE DIVISION	CORPORATE
954	954 - SHAWNATA MARSHALL (264)	CORPORATE DIVISION	CORPORATE
955	955 - DAVID MARTINEZ (1DM)	CORPORATE DIVISION	CORPORATE
956	956 - SAUL MAYORQUIN (2SM)	CORPORATE DIVISION	CORPORATE
957	957 - RICHARD MCCUNE	CORPORATE DIVISION	CORPORATE
958	958 - ARMANDO MORENO (2MA)	CORPORATE DIVISION	CORPORATE
959	959 - DANIEL MORENO (1ML)	CORPORATE DIVISION	CORPORATE
96	096 - COLUMBUS SERVICE CENTER	???	CORPORATE
960	960 - WORKU MULUGETA (1MW)	CORPORATE DIVISION	CORPORATE
961	961 - ADAM MUNOZ (1AM)	CORPORATE DIVISION	CORPORATE
962	962 - MATTHEW NEVILLE (326)	CORPORATE DIVISION	CORPORATE
963	963 - DOUG NOLLEN (1DN)	CORPORATE DIVISION	CORPORATE
964	964 - BRYAN PARKER (303)	CORPORATE DIVISION	CORPORATE
965	965 - MARIA PEDERSEN (343)	CORPORATE DIVISION	CORPORATE
966	966 - SCOTT ROBINSON (1SR)	CORPORATE DIVISION	CORPORATE
967	967 - DAWNMARIE RODRIGUEZ (2DR)	CORPORATE DIVISION	CORPORATE
